meeting_name,date_time,location,url
Finance and Audit Committee Meeting,"January 8, 2020, 10:30 AM","State Transportation Building, Boston, MA",www.mbta.com/events/2020-01-08/finance-and-audit-committee-meeting
Fiscal and Management Control Board Meeting,"January 13, 2020, 12:00 PM","State Transportation Building, Boston, MA",www.mbta.com/events/2020-01-13/fiscal-and-management-control-board-meeting
South Station Pre-Construction Open House,"January 22, 2020, 4:30 PM","BSA Space, Fort Point Room, 2nd Floor, Boston, MA",www.mbta.com/events/2020-01-22/south-station-pre-construction-open-house
Fiscal and Management Control Board Meeting,"January 27, 2020, 12:00 PM","State Transportation Building, Boston, MA",www.mbta.com/events/2020-01-27/fiscal-and-management-control-board-meeting
Lynn Transit Action Plan Advisory Committee Meeting #3,"January 31, 2020, 10:00 AM","Lynn YMCA, Lynn, MA",www.mbta.com/events/2020-01-31/lynn-transit-action-plan-advisory-committee-meeting-3
South Coast Rail Construction Phase 1 Contractor Forum,"January 31, 2020, 10:00 AM","State Transportation Building, 2nd Floor, Board Room, Boston, MA",www.mbta.com/events/2020-01-31/south-coast-rail-construction-phase-1-contractor-forum
Advisory Meeting | Riders' Transportation Access Group Meeting,"February 3, 2020, 5:30 PM","State Transportation Building, 2nd Floor, Board Room, Boston, MA",www.mbta.com/events/2020-02-03/advisory-meeting-riders-transportation-access-group-meeting
Finance and Audit Committee Meeting,"February 5, 2020, 9:30 AM","State Transportation Building, Boston, MA",www.mbta.com/events/2020-02-05/finance-and-audit-committee-meeting
Capital Programs Committee Meeting,"February 5, 2020, 10:30 AM","State Transportation Building, Boston, MA",www.mbta.com/events/2020-02-05/capital-programs-committee-meeting
Joint Meeting of the MassDOT Board and the Fiscal and Management Control Board,"February 10, 2020, 11:00 AM","State Transportation Building, Boston, MA",www.mbta.com/events/2020-02-10/joint-meeting-the-massdot-board-and-the-fiscal-and-management-control-board
Lynn Transit Action Plan Public Information Meeting,"February 11, 2020, 6:00 PM","North Shore Community College, Lynn, MA",www.mbta.com/events/2020-02-11/lynn-transit-action-plan-public-information-meeting
"Newtonville Station Site Visit for Seniors, People with Disabilities","February 13, 2020, 1:00 PM","Newtonville Commuter Rail Station, Newton, MA",www.mbta.com/events/2020-02-13/newtonville-station-site-visit-seniors-people-disabilities
Public Engagement Plan Meeting (Boston),"February 13, 2020, 6:00 PM","State Transportation Building, 2nd Floor, Board Room, Boston, MA",www.mbta.com/events/2020-02-13/public-engagement-plan-meeting-boston
"Newton Accessibility Improvements Workshop for Seniors, People with Disabilities","February 14, 2020, 1:00 PM","Newton Free Library, Newton, MA",www.mbta.com/events/2020-02-14/newton-accessibility-improvements-workshop-seniors-people-disabilities-0
"West Newton Station Site Visit for Seniors, People with Disabilities","February 17, 2020, 1:00 PM","West Newton Station, Newton, MA",www.mbta.com/events/2020-02-17/west-newton-station-site-visit-seniors-people-disabilities
"Newton Accessibility Improvements Workshop for Seniors, People with Disabilities","February 18, 2020, 1:00 PM","Newton Free Library, Newton, MA",www.mbta.com/events/2020-02-18/newton-accessibility-improvements-workshop-seniors-people-disabilities
"Auburndale Station Site Visit for Seniors, People with Disabilities","February 20, 2020, 1:00 PM","Auburndale Station, Newton, MA",www.mbta.com/events/2020-02-20/auburndale-station-site-visit-seniors-people-disabilities
"Newton Accessibility Improvements Workshop for Seniors, People with Disabilities","February 21, 2020, 1:00 PM","Newton Free Library, Newton, MA",www.mbta.com/events/2020-02-21/newton-accessibility-improvements-workshop-seniors-people-disabilities
Fiscal and Management Control Board Meeting,"February 24, 2020, 12:00 PM","State Transportation Building, Boston, MA",www.mbta.com/events/2020-02-24/fiscal-and-management-control-board-meeting
Public Engagement Plan Meeting (Quincy),"February 27, 2020, 6:00 PM","Quincy City Hall, Main Forum Meeting Room, Quincy, MA",www.mbta.com/events/2020-02-27/public-engagement-plan-meeting-quincy
Public Meeting | Winchester Center Station,"March 4, 2020, 6:30 PM","McCall Middle School Auditorium, Winchester, MA",www.mbta.com/events/2020-03-04/public-meeting-winchester-center-station
Public Engagement Plan Meeting (Chelsea),"March 5, 2020, 6:00 PM","Chelsea City Hall, 2nd Floor, City Council Chambers, Chelsea, MA",www.mbta.com/events/2020-03-05/public-engagement-plan-meeting-chelsea
Fiscal and Management Control Board Meeting,"March 9, 2020, 12:00 PM","State Transportation Building, Boston, MA",www.mbta.com/events/2020-03-09/fiscal-and-management-control-board-meeting
Better Bus Project Open House Featuring Bus Network Redesign - CANCELED,"March 10, 2020, 5:30 PM","Bruce C. Bolling Municipal Building Lobby, Roxbury, MA",www.mbta.com/events/2020-03-10/better-bus-project-open-house-featuring-bus-network-redesign-canceled
Green Line Extension (GLX) Public Meeting - CANCELED,"March 10, 2020, 6:00 PM","Multicultural Arts Center, Cambridge, MA",www.mbta.com/events/2020-03-10/green-line-extension-glx-public-meeting-canceled
