"meeting_name","date_time","location","url"
"Board Meeting | MBTA Audit and Finance Subcommittee (Virtual)","May 12, 2022, 8:30 AM","Virtual, Boston, MA","www.mbta.com/events/2022-05-12/board-meeting-mbta-audit-and-finance-subcommittee-virtual"
"Board Meeting | MBTA Planning, Workforce, Development & Compensation Subcommittee (Virtual)","May 12, 2022, 10:00 AM","Virtual, Boston, MA","www.mbta.com/events/2022-05-12/board-meeting-mbta-planning-workforce-development-compensation-subcommittee"
"Board Meeting | MBTA Safety, Health & Environment Subcommittee (Virtual)","May 16, 2022, 11:00 AM","Virtual, Boston, MA","www.mbta.com/events/2022-05-16/board-meeting-mbta-safety-health-environment-subcommittee-virtual"
"Public Meeting | Bus Network Redesign - Nubian Station Open House","May 18, 2022, 2:00 PM","Nubian Station, Roxbury, MA","www.mbta.com/events/2022-05-18/public-meeting-bus-network-redesign-nubian-station-open-house"
"Public Meeting | Green Line Train Protection and Track Upgrades (Virtual)","May 18, 2022, 6:00 PM","Virtual, Boston, MA","www.mbta.com/events/2022-05-18/public-meeting-green-line-train-protection-and-track-upgrades-virtual"
"Public Meeting | Bus Network Redesign - Systemwide (Virtual)","May 19, 2022, 6:00 PM","Virtual, Boston, MA","www.mbta.com/events/2022-05-19/public-meeting-bus-network-redesign-systemwide-virtual"
"Public Meeting | Bus Network Redesign - South Shore and South Suburbs (Virtual)","May 24, 2022, 6:00 PM","Virtual, Boston, MA","www.mbta.com/events/2022-05-24/public-meeting-bus-network-redesign-south-shore-and-south-suburbs-virtual"
"Board Meeting | MBTA Board of Directors (Virtual)","May 26, 2022, 10:00 AM","Virtual, Boston, MA","www.mbta.com/events/2022-05-26/board-meeting-mbta-board-directors-virtual"
"Public Meeting | Bus Network Redesign - Chelsea City Hall Station Open House","May 26, 2022, 5:00 PM","Chelsea City Hall, Chelsea, MA","www.mbta.com/events/2022-05-26/public-meeting-bus-network-redesign-chelsea-city-hall-station-open-house"
"Listening Session | Accessibility at the MBTA: The RIDE (Virtual)","May 26, 2022, 5:30 PM","Virtual, Boston, MA","www.mbta.com/events/2022-05-26/listening-session-accessibility-the-mbta-the-ride-virtual"
"Public Meeting | Bus Network Redesign - Harvard Station Open House","June 1, 2022, 3:30 PM","Harvard Station, Cambridge, MA","www.mbta.com/events/2022-06-01/public-meeting-bus-network-redesign-harvard-station-open-house"
"Public Meeting | Ruggles Station Improvements Project - Phase II (Virtual)","June 1, 2022, 6:00 PM","Virtual, Boston, MA","www.mbta.com/events/2022-06-01/public-meeting-ruggles-station-improvements-project-phase-ii-virtual"
"Board Meeting | MBTA Audit and Finance Subcommittee (Virtual)","June 2, 2022, 9:00 AM","Virtual, Boston, MA","www.mbta.com/events/2022-06-02/board-meeting-mbta-audit-and-finance-subcommittee-virtual"
"Public Meeting | Bus Network Redesign - Boston (Virtual)","June 2, 2022, 6:00 PM","Virtual, Boston, MA","www.mbta.com/events/2022-06-02/public-meeting-bus-network-redesign-boston-virtual"
"Public Meeting | Bus Network Redesign - Quincy Center Station Open House","June 7, 2022, 4:00 PM","Quincy Center Station, Quincy, MA","www.mbta.com/events/2022-06-07/public-meeting-bus-network-redesign-quincy-center-station-open-house"
"Public Meeting | Accessibility and Daniels-Finegold v. MBTA Settlement Update (Virtual)","June 8, 2022, 1:00 PM","Virtual, Boston, MA","www.mbta.com/events/2022-06-08/public-meeting-accessibility-and-daniels-finegold-v-mbta-settlement-update"
